133 136
-179 48 D
-24 193 D
106 -134 R
33 -100 R
-40 93 R
157 88 D
-97 -162 R
-154 23 D
-12 -108 D
177 40 D
60 -79 D
59 82 D
115 198 D
15 6 D
-36 17 R
-114 -2 R
133 -16 D
127 48 R
177 55 R
87 151 D
47 101 D
16 200 R
115 -174 D
-125 54 D
5 -180 D
180 -122 D
113 -5 D
186 -172 D
148 122 D
183 25 R
-84 22 R
113 68 R
77 101 R
-10 -159 R
163 165 R
14 43 R
-149 -11 R
-91 103 D
36 -139 D
10 171 D
26 19 R
-127 167 R
85 93 R
-138 24 R
-70 -146 R
-116 -13 D
-135 -81 D
104 -119 D
-109 136 R
-53 115 D
140 -151 D
-64 51 R
-2 -46 D
-49 -111 R
141 196 D
174 36 R
196 -156 R
-55 59 D
74 -13 R
-79 -154 R
111 196 R
-79 -120 R
118 140 R
-182 10 D
26 163 D
-156 107 D
150 -68 D
90 175 R
-142 186 R
-131 96 D
89 -131 R
149 45 R
157 195 D
-7 110 D
-52 27 D
182 -22 D
-80 -119 R
-146 27 D
-26 -78 R
-154 145 D
144 95 D
-34 57 D
58 -175 D
-191 -174 R
5 28 R
-11 -57 D
16 31 R
-116 -145 D
89 115 D
-193 188 D
154 -115 D
-78 132 D
-27 -152 R
-159 105 R
98 -95 D
-63 -174 D
-75 -99 D
-60 -128 D
39 -39 D
9 30 R
117 -127
24 -86 R
166 -65 D
164 -129 D
23 -79 R
91 -74 D
171 -74 R
-85 -98 D
153 -36 R
165 -14 D
-30 43 D
-157 -74 D
145 -54 D
-43 -169 R
123 111 D
-187 159 D
-190 -33 D
2 -155 D
-197 -13 R
50 25 D
152 -78 D
-108 -40 R
-124 103 D
-174 32 D
-5 -166 D
71 185 D
19 -136 D
-111 -12 R
130 -161 R
97 -123 R
122 45 D
-94 17 D
188 3 D
-28 3 R
-93 63 D
54 150 D
-40 77 R
155 108 R
0 144 D
103 -31 R
-89 181 R
119 -61 R
-147 116 R
-167 -181 R
-146 22 R
-196 -107 D
111 104 D
55 74 D
52 86 D
-140 105 D
20 -156 D
44 -10 D
156 -113 D
128 -69 D
93 85 R
-183 -132 R
42 34 R
-193 127 R
130 17 R
-146 -152 D
3 140 R
124 97 D
82 -85 D
-131 173 D
-87 -37 R
-81 -105 R
118 14 R
122 88 R
-113 -187 R
-80 104 D
68 62 R
-105 146 R
-107 -73 D
38 5 R
153 -197 R
145 -108 R
41 -128 R
186 18 R
64 131 D
120 146 D
-157 128 D
187 56 D
-197 -116 D
-12 164 D
192 156 R
-81 59 R
58 31 R
-190 -120 R
185 153 D
57 -81 R
111 103 D
60 17 D
121 -83 D
73 -149 D
123 -165 R
130 -127 D
97 -117 D
69 -94 D
109 -93 D
97 -81 R
67 -133 D
-59 65
77 33 D
8 186 R
-168 94 D
166 -167 R
104 -113 R
57 -27 D
-128 -146 R
-103 174 D
145 -62 R
18 83 R
-144 -54 D
-16 117 D
154 80 D
-135 65 R
23 -162 D
65 165 R
-180 -94 D
-53 142 R
33 -51 D
-163 71 R
-129 -24 D
54 -143 D
-185 -71 D
-128 88 D
-81 -21 R
-86 85 D
-68 -160 R
0 190 R
190 -74 D
50 -131 D
-5 -152 R
67 -4 D
-122 -138 R
95 127 R
-20 162 D
-21 153 D
147 20 R
134 191 D
46 135 R
-99 68 D
-182 35 R
196 -28 D
169 68 D
183 31 R
-182 -11 R
141 28 R
-154 -197 D
179 134 R
-137 -112 R
-176 189 R
-19 75 D
-191 -6 R
-82 161 R
-37 108 R
175 198 D
-173 158 R
157 23 R
-120 -77 D
143 138 R
-135 183 R
199 -60 D
1 -180 D
-50 -15 D
98 26 D
88 -149 D
-192 31 D
-38 1 D
-62 190 R
38 -90 D
-34 -138 D
120 107 R
-86 -171 D
-6 -29 R
116 176 R
-101 198 D
178 68 R
-73 109 D
1 147 D
15 108 D
187 175 D
114 -122 D
-9 91 D
-44 84 D
-97 104 D
-67 41 D
-41 90 R
-20 93 D
-99 66 R
-61 52 D
-87 68 R
-61 110 D
-107 77 D
-63 65 R
-42 103 D
-71 83 R
-43 101 R
-46 53 D
-94 62 D
-55 85 R
-45 27 D
-148 -76
-2 -81 D
-118 16 R
-11 148 D
36 190 R
1 -139 R
-28 77 D
-121 -198 R
-51 -28 R
-1 -95 R
-187 -110 D
-139 -37 D
-17 142 R
161 -111 R
116 0 D
-187 170 D
-116 -8 R
11 -60 D
200 171 D
72 152 R
-110 -150 D
1 -198 R
-104 -172 D
127 173 R
-99 12 D
-174 -89 D
-41 -161 R
-196 -141 D
182 155 D
115 109 D
-193 167 D
-118 -107 R
-174 94 R
-175 -64 R
24 187 R
139 -67 R
154 -143 D
-11 141 R
-26 148 R
196 110 D
-129 161 R
24 27 R
-19 121 R
157 68 D
-40 -12 D
-17 -72 D
99 120 D
104 -9 D
147 -78 R
26 -56 R
-54 102 R
-37 -170 R
132 155 D
123 -54 D
-28 -102 D
85 58 D
16 113 D
-175 104 R
-36 -195 D
-62 -72 D
192 82 D
-133 14 D
-186 -62 R
-60 151 R
-106 -9 R
167 -178 D
-120 -108 D
-69 29 R
-47 139 R
64 5 D
94 113 D
136 39 D
-122 -77 D
-137 -43 R
-169 -47 R
-149 -75 R
-133 -110 D
-186 -78 R
-196 -34 R
-171 -29 R
-159 -63 D
-175 -31 D
-160 -68 R
-160 -90 D
-189 -40 D
-139 -45 D
-103 -35 D
-118 -80 D
-172 -110 D
-98 -26 D
-192 -39 R
-196 -65 D
-173 -57 D
-178 -70 D
-176 -116 R
-136 -45 R
-132 -28 D
-119 -50 R
-161 -43 D
-134 -36 D
-197 -67 D
-108 142
-126 70 R
-73 -59 R
-102 -177 D
-34 -138 R
-103 -134 R
165 -41 D
103 -197 D
154 -109 R
-161 -39 R
189 199 R
62 -138 D
66 157 R
108 3 D
-39 5 D
85 -90 R
-132 -108 R
6 101 R
42 84 R
-120 -91 R
-87 153 D
-167 -138 D
19 119 D
75 -104 D
-59 -35 D
68 63 R
-159 145 D
-142 -21 R
114 -121 R
151 -98 R
181 -23 R
-73 -199 R
182 -9 R
-182 106 D
184 -35 R
-84 156 D
110 -121 R
-51 -45 D
-2 -79 D
-39 87 D
-4 173 D
96 -121 D
83 -93 R
42 -59 D
-104 -156 R
-132 -162 D
2 -100 R
51 90 R
-46 32 R
9 60 D
-6 116 D
41 87 D
13 -174 R
-55 62 R
-19 -41 D
-98 -50 D
91 -48 R
-175 194 R
163 -177 R
-110 160 D
-21 -69 D
-162 -35 R
-130 116 R
-73 96 D
-108 152 D
-153 160 R
-118 190 R
-68 164 R
-117 111 R
-154 183 D
-71 180 R
-76 120 D
-72 104 D
-65 102 D
-85 154 D
-81 122 D
-82 152 D
-127 105 D
-94 172 R
-72 172 R
-151 117 R
-149 162 R
-147 128 R
-153 175 D
-100 160 D
-155 125 R
-99 93 D
-59 175 D
-73 146 D
-133 180 R
-92 127 D
-114 132 D
-80 133 R
-158 125 R
-75 136 R
-99 178 R
-94 99 R
-92 162 D
-125 126 R
-150 94 D
-73 141 D
122 60
-2 -22 D
93 -75 R
85 22 R
115 95 D
17 190 D
-52 2 R
176 -123 R
169 -143 R
-75 -145 D
-190 92 R
83 72 R
66 -154 D
-146 -14 D
-179 76 D
10 65 D
67 -91 D
-93 81 D
34 37 D
46 -57 R
74 136 D
91 92 R
101 -146 D
26 -54 D
119 135 D
-64 24 R
4 -86 D
107 -161 R
196 149 R
-164 15 R
20 -98 D
-141 1 R
-55 -13 R
149 -106 R
157 152 D
-152 151 R
-166 -51 R
-89 -76 R
142 -31 D
34 -175 R
148 31 D
-86 12 D
-108 -27 R
-174 105 R
192 170 D
-26 31 D
-96 -69 R
-77 103 R
-152 -86 R
146 59 D
-11 9 R
-104 110 R
165 31 R
75 27 D
79 75 R
148 27 D
78 96 R
153 24 D
130 76 R
97 110 R
99 45 R
112 80 D
163 85 D
143 107 D
161 56 D
90 42 R
76 24 R
77 100 R
137 10 D
79 90 R
139 100 D
161 89 R
147 74 D
123 87 D
133 30 D
156 30 D
153 47 R
79 33 R
158 74 R
141 80 R
163 24 D
89 103 D
167 67 D
83 45 R
72 78 D
72 66 R
162 86 R
124 83 D
95 41 D
113 56 D
98 109 D
162 100 D
129 44 D
129 62 R
168 59 D
90 60 D
147 23 D
73 75 D
84 32 R
125 65 R
118 100 D
108 -106
-166 -113 D
-155 118 D
-155 50 R
99 -199 R
95 -19 D
-116 10 D
-52 189 D
142 84 R
-60 98 D
136 98 D
-179 -9 R
24 -33 D
138 -38 R
172 196 R
-7 18 R
125 -44 R
-10 -195 R
-53 -148 R
4 -37 R
6 98 R
-64 199 D
56 43 D
-139 -192 R
-70 62 D
137 -120 D
75 176 D
-153 -44 D
33 140 R
-166 197 D
133 69 D
24 -98 R
-29 37 R
161 55 D
-29 -191 D
122 51 D
-178 -38 D
-180 -163 D
-92 -22 R
-196 52 D
103 -2 R
-91 -155 R
149 -63 D
100 -147 R
137 -133 D
96 -79 R
115 -116 R
92 -91 R
117 -61 R
100 -129 R
129 -87 R
78 -138 D
110 -83 R
103 -67 D
58 -122 R
97 -123 R
123 -84 R
108 -63 D
58 -111 R
60 -131 D
69 -70 R
95 -115 D
68 -123 D
130 -123 R
101 -130 R
99 -152 D
135 -121 D
138 -145 R
145 -91 D
116 -108 R
90 -65 D
68 -100 D
99 -69 D
