59 136
-173 119 R
-49 -165 R
-145 6 D
-57 107 R
46 182 R
-89 3 R
169 127 R
21 180 R
-179 121 D
129 182 R
-81 -87 D
-5 -28 R
-163 -28 D
112 139 D
-32 158 R
-142 -29 D
-29 -123 D
-112 26 R
96 28 D
63 112 D
-168 -85 D
154 170 R
147 -19 R
-185 -51 R
186 -128 R
-103 -181 R
55 -115 R
-28 46 D
89 -6 D
-74 -5 D
160 -129 R
137 100 D
145 119 R
-35 -54 D
-19 127 R
-131 -197 D
-164 -17 R
-24 163 R
164 -94 D
167 26 R
-87 194 R
114 150 D
-142 121 D
-131 158 D
33 146 R
139 15 R
-97 60 R
-118 -13 D
-185 186 R
-187 1 R
75 39 R
84 161 R
102 12 D
-32 -116 D
106 -103 D
-128 184 D
44 84 D
-80 121 R
-109 48 R
12 109 D
31 -118 D
156 -95 D
-118 -42 D
-107 -106 D
-12 110 R
-111 65 D
66 164 D
121 -190 R
137 -39 D
-78 -76 D
-104 -178 D
-135 -163 R
141 89 D
136 -107 R
124 -50 R
114 22 R
143 165 R
13 46 D
193 73 R
112 -163 D
64 191 D
38 -179 R
-157 71 D
111 -106 D
39 20 R
97 -47 D
116 66 R
122 150 R
166 183 D
-83 69 D
24 8 D
-78 5 R
138 194 R
152 -168 R
-3 -19 R
-72 145 R
-115 178 D
-133 -177 R
158 152 R
-150 131 R
-14 -107
74 196 D
55 -49 R
-102 -95 R
31 97 R
-83 -81 R
-140 -108 D
45 -107 D
-197 -120 D
85 149 D
139 104 D
-106 81 R
189 33 R
73 -36 D
-40 174 R
-168 35 D
-99 22 R
90 128 D
-93 -156 D
-186 11 D
200 -66 R
130 35 D
131 134 R
-109 163 R
-68 -86 R
56 -91 D
46 -18 D
172 153 R
61 -128 R
-137 -124 D
-31 -96 D
-118 -131 D
-136 -25 D
-22 98 R
-112 -17 D
132 180 D
-86 145 R
54 -146 R
70 77 R
-64 -137 R
191 -131 D
133 62 R
84 147 R
47 50 R
-11 167 D
-100 43 R
-91 120 D
-93 -35 D
147 -146 R
41 -47 R
-33 187 D
-130 -95 R
-137 -60 D
48 -69 R
21 138 D
-25 97 R
-58 177 D
162 101 R
53 -197 D
-196 -42 D
-10 -12 D
84 -47 R
178 132 D
148 102 D
-160 -160 D
-63 80 R
-53 110 R
102 -115 D
-10 91 R
-118 -88 R
63 153 R
80 -186 D
-167 -138 R
-139 -199 D
-40 28 D
-110 -164 D
73 50 D
-25 99 D
158 11 R
162 103 R
30 -30 R
116 -113 D
192 -115 R
-115 89 D
-65 1 D
150 -164 D
-64 24 D
-50 10 R
113 -134 R
100 -100 D
-84 21 D
44 -113 R
-48 -149 R
6 -75 D
-46 -86 D
11 -70 D
-10 -94 R
-48 -61 D
7 -111 D
-9 -101 D
35 -126 R
-64 -90
-53 67 R
-35 -114 D
38 109 R
2 140 R
1 -179 D
-104 -150 D
76 -185 D
83 -8 D
104 -114 R
-90 -9 D
-103 61 D
-100 12 R
179 -20 R
-73 -162 R
-158 -155 R
-72 60 D
97 61 R
-55 -66 R
-72 -46 R
57 -166 R
-104 101 R
-17 157 R
-166 13 R
-107 -143 D
124 -91 D
114 -60 D
197 -156 D
-162 121 R
15 176 R
-5 102 D
-29 -11 D
73 -89 R
157 112 D
80 -200 R
-80 72 D
25 -37 R
-148 -89 R
-140 11 R
34 -11 R
-118 127 R
-39 16 R
61 58 D
114 67 R
-137 101 R
-55 29 R
71 196 R
-20 -96 D
182 38 R
-199 -177 R
167 -56 D
57 -180 D
-184 95 R
88 120 R
189 51 R
-94 143 R
56 -59 D
90 175 D
11 3 R
-131 -39 R
154 10 D
-100 -40 D
-81 190 D
-62 -44 D
165 179 R
-161 -181 R
-179 25 D
-105 107 R
-30 -198 D
-27 -66 D
-31 -41 D
18 -21 R
-160 175 R
-76 -32 R
17 -86 R
-104 -49 D
114 -139 R
31 173 R
-2 -161 D
-95 22 R
51 -92 D
-127 -196 R
-100 -95 R
-16 -81 R
-61 -139 D
-62 -83 D
-84 -97 D
-66 -40 R
-110 -133 D
-29 -109 R
-48 -115 R
-30 -109 R
-104 -47 D
-93 -85 D
-84 -71 D
-58 -92 R
-35 -123 R
-48 -130 D
-50 -128 D
-95 -81 R
-32 -112 D
-2 -92
192 143 D
-163 191 D
-43 25 D
92 17 R
-10 -115 D
196 166 D
-91 49 D
151 -157 R
-131 -193 R
14 47 D
53 -45 D
94 -9 D
-81 87 D
71 94 R
20 -53 R
22 83 R
-200 173 R
-118 -126 R
64 -76 R
-189 124 D
-16 29 D
135 -134 D
-67 61 R
-105 198 R
-194 -30 D
-17 -116 R
29 197 D
148 -138 R
78 -32 D
24 -147 D
188 -68 D
-108 -156 D
-163 111 R
-117 -103 D
-98 -16 D
0 181 R
-166 -159 R
198 -52 R
-123 49 D
-158 130 D
4 174 R
58 23 R
-24 -108 R
129 37 D
53 -131 D
160 -45 R
47 -179 D
117 -36 D
76 43 R
28 -101 D
-62 -64 D
-149 95 R
-68 41 R
179 150 D
-173 -163 D
185 -1 R
-106 -147 R
-34 -66 R
192 22 R
74 -176 R
168 -86 R
-104 116 D
157 -172 R
182 -7 D
179 -123 D
114 -125 R
-187 -148 R
162 -183 R
90 7 D
55 165 R
-139 -85 D
-27 -47 R
44 -52 R
32 -116 R
-37 -83 R
-22 -93 D
-12 -83 R
1 -98 D
37 -142 D
27 -60 D
6 -103 D
44 -112 D
-3 -89 D
-3 -102 R
-34 -131 R
36 -121 R
24 -132 R
-11 -135 R
-13 -65 D
-1 -138 D
30 -47 D
-3 -60 D
14 -140 D
-33 -62 D
-28 -133 D
-6 -84 D
-10 -129 D
-23 -98 R
-46 -77 D
-25 -81 R
-99 7
154 198 R
69 66 R
142 39 R
181 -128 D
-113 -113 R
106 8 D
-133 -90 R
-4 28 D
16 200 D
-185 -36 D
-103 78 D
192 68 R
147 -135 R
-177 163 D
-44 -57 D
105 91 D
187 100 D
176 -171 D
-133 65 R
137 -19 R
72 -148 R
131 -189 D
-51 89 R
-100 -77 R
52 -22 D
-178 -25 R
197 20 R
-190 -2 D
11 -1 R
-68 -135 D
44 -75 R
1 158 D
11 106 D
-24 184 D
-34 -18 R
-142 -73 R
77 172 D
79 -115 R
-96 -130 D
-158 61 R
-51 131 R
-46 131 D
-182 -77 D
-185 158 R
-73 -139 D
38 -167 R
31 170 D
-27 -119 D
-90 -97 R
-73 -173 D
83 110 D
148 -109 R
82 193 D
-119 22 D
148 41 R
171 -83 D
-125 -15 D
-60 -191 D
36 148 R
81 -92 R
-76 144 R
-118 44 D
-65 -26 R
-87 41 R
-103 -30 D
-129 37 R
-82 9 D
-80 27 D
-132 20 D
-99 35 R
-81 -29 D
-61 -18 D
-124 -33 D
-53 39 R
-55 -27 D
-63 -6 D
-86 10 R
-60 -11 R
-95 -38 D
-97 -31 R
-80 -39 D
-115 -23 D
-146 9 R
-66 47 R
-148 -4 D
-112 -19 R
-105 -36 R
-49 7 D
-79 -9 R
-53 2 D
-65 -40 D
-69 -40 R
-59 51 D
-109 -4 D
-67 -43 R
-82 34 D
-117 2 R
-129 13 R
-122 0 R
-114 4 R
-117 -136
-101 -128 D
-116 148 D
152 142 D
-82 -9 R
9 57 R
-27 84 R
172 170 R
200 -167 D
-171 -113 D
169 -29 R
-34 150 R
-168 154 D
-46 166 R
15 -75 D
17 74 R
-60 144 R
-96 112 D
-3 18 D
165 145 R
191 -134 D
39 171 D
144 -103 R
-176 -87 R
-185 -17 R
-122 144 R
-14 -116 D
-162 193 D
116 10 R
68 -172 D
-70 -47 R
-195 184 D
116 99 R
-179 42 D
35 -80 D
118 -36 R
-11 -100 D
-153 125 R
47 39 D
58 -135 D
-167 -39 R
-162 -164 D
155 -95 D
75 155 R
160 55 R
-65 108 R
-188 196 R
-157 -165 D
93 70 R
-25 40 R
-140 122 D
104 -147 R
-136 -148 R
-112 -170 D
-99 -164 D
-117 -137 D
-158 -184 R
-156 -137 D
-132 -180 R
-151 -94 D
-105 -138 D
-137 -104 R
-161 -107 R
-144 -102 D
-97 -100 D
-95 -128 R
-151 -159 R
-163 -129 D
-161 -149 R
-92 -138 D
-78 -99 D
-116 -158 R
-73 -105 R
-163 -103 D
-149 -138 R
-135 -153 R
-107 -175 R
-75 -146 D
-116 -161 R
-68 -92 D
-159 -105 R
-141 -104 R
-152 -122 D
-157 -175 R
-140 -119 R
-92 -101 D
-99 -169 R
-131 -140 D
-149 -156 D
-114 -124 R
-125 -180 D
-109 -106 R
-70 -146 R
-81 -108 D
-158 -158 D
-92 -140 R
-97 -99 D
-106 -102 D
-100 -126 R
-114 -176 D
-139 -100 R
42 82
64 124 D
-25 -112 D
105 162 D
-161 3 R
197 -58 R
-77 -196 R
-98 53 D
35 -7 R
115 126 R
198 -165 R
-180 94 R
198 -43 R
147 61 R
-22 198 D
-165 19 R
131 -102 D
-178 10 R
-83 -135 D
-95 146 R
102 41 D
-13 176 D
-96 -13 D
156 -37 D
-31 -112 R
-145 55 R
102 191 R
68 29 D
48 144 R
-155 -69 R
27 191 D
-79 90 D
-26 108 D
2 -56 D
-119 -190 R
-11 -96 D
26 33 D
-16 -5 R
-18 -68 R
-123 -197 R
186 -59 R
-77 199 D
89 91 R
67 105 D
71 53 D
14 62 R
7 88 R
69 90 D
80 118 D
33 32 R
16 42 R
71 61 D
61 45 R
71 63 D
-5 69 D
57 113 R
24 119 R
82 113 R
-6 108 R
25 103 R
64 77 R
60 105 R
10 119 R
24 77 R
85 93 D
9 127 R
5 49 D
75 54 D
19 76 D
-8 131 D
88 49 R
76 38 R
16 35 D
86 118 D
39 58 R
26 119 R
90 99 D
24 126 R
42 127 R
64 85 D
32 100 R
32 45 R
73 56 D
-5 129 R
66 92 R
89 94 R
33 51 D
29 102 R
14 74 R
74 131 R
35 35 D
64 122 D
74 35 D
52 83 R
84 110 D
50 55 D
72 53 R
10 49 R
12 50 D
69 39 R
84 128 D
97 -69
-163 -22 R
10 -172 R
-199 14 D
-92 101 R
198 -141 D
44 198 D
163 -183 R
28 -13 D
-158 87 D
108 175 R
-8 -199 R
-114 0 D
145 -193 R
138 200 D
195 -47 D
-8 147 D
158 101 R
108 -148 R
139 82 R
-80 53 R
49 -42 D
184 -46 R
-168 199 D
-64 -97 R
-59 -160 R
-99 -26 D
8 71 D
-126 80 R
-191 -165 D
172 15 D
-42 111 R
104 -49 D
147 -112 D
65 -64 R
102 -32 D
81 -36 R
135 -79 R
84 -43 R
81 -90 R
89 -44 R
72 -24 D
92 -36 D
91 -57 D
72 -104 R
59 -100 R
60 -53 D
59 -114 R
146 -107 R
82 -93 R
73 -82 D
63 -76 D
137 -63 R
69 -53 R
80 -77 D
105 -22 D
58 -81 R
88 -44 D
114 -90 R
90 -108 D
81 -100 R
141 -35 R
138 -104 D
87 -31 D
131 -81 D
136 -43 D
142 -29 D
125 -81 D
96 -90 D
84 -99 D
125 -87 D
145 -107 D
125 -74 D
113 -106 D
141 -48 R
85 -89 D
114 -46 D
119 -70 R
89 -94 R
